iter	Logloss
0	0.6583153782
5	0.5210737054
10	0.4246868015
15	0.3668593103
20	0.324652675
25	0.2908295422
30	0.272372523
35	0.2563027952
40	0.2445001772
45	0.2352922172
50	0.2287095736
55	0.2244839653
60	0.2201346572
65	0.216200706
70	0.2134928493
75	0.2101706176
80	0.2067592271
85	0.204628046
90	0.2025592681
95	0.2005205852
100	0.1988440899
105	0.1973552465
110	0.1956923905
115	0.19403563
120	0.1924481929
125	0.1913001325
130	0.1900541825
135	0.1891112758
140	0.1879965292
145	0.1865287886
150	0.1855522261
155	0.1843005629
160	0.1831249622
165	0.1817776624
170	0.1811792
175	0.1802918164
180	0.1794258978
185	0.1783771955
190	0.1775226228
195	0.1767472309
200	0.1753654304
205	0.1741749029
210	0.1734623164
215	0.1726072207
220	0.1716542756
225	0.1704913889
230	0.1695003019
235	0.1690366037
240	0.1684909888
245	0.1676928043
250	0.1669373283
255	0.1662867627
260	0.1659181377
265	0.1653035817
270	0.1651589702
275	0.1642690519
280	0.1638023261
285	0.1634818714
290	0.1626548692
295	0.1620411178
300	0.1614956136
305	0.1604374161
310	0.1599030668
315	0.1594514086
320	0.1588510251
325	0.158204151
330	0.1572656499
335	0.1565104757
340	0.1551665354
345	0.1544193376
350	0.1538462227
355	0.1528102445
360	0.1522472183
365	0.1515914424
370	0.1510001518
375	0.1503587998
380	0.14971781
385	0.1492952109
390	0.1487449088
395	0.14822269
400	0.1470062517
405	0.1466567983
410	0.1461583579
415	0.1457446506
420	0.145334504
425	0.1449592907
430	0.1444620071
435	0.1439498569
440	0.1437551138
445	0.143427266
450	0.1430151379
455	0.142373273
460	0.1421485755
465	0.1417970601
470	0.1414790697
475	0.1411602646
480	0.1408877489
485	0.140647169
490	0.1400217095
495	0.1398260007
500	0.1394113177
505	0.138876898
510	0.1382205488
515	0.137970373
520	0.137643672
525	0.137401352
530	0.1372034605
535	0.1365980175
540	0.1361995589
545	0.1358216298
550	0.1355489833
555	0.1350613458
560	0.1348433674
565	0.1343578019
570	0.134215514
575	0.1339731537
580	0.1338425336
585	0.133368113
590	0.1331086835
595	0.1324780237
600	0.1321540988
605	0.1316893244
610	0.1315071242
615	0.1311792161
620	0.1308937752
625	0.130151858
630	0.1300004068
635	0.1296611326
640	0.1295732914
645	0.1294304201
650	0.129261477
655	0.1292249444
660	0.1288344019
665	0.1286692107
670	0.1285061318
675	0.128391032
680	0.1281723797
685	0.128066564
690	0.1275944568
695	0.127141823
700	0.126766499
705	0.1264544131
710	0.1263063213
715	0.1260636191
720	0.1256690028
725	0.1254660117
730	0.1252592083
735	0.1247921204
740	0.1247005375
745	0.124592187
750	0.1244652081
755	0.1241779767
760	0.1237978951
765	0.1235119814
770	0.1231176468
775	0.1227871235
780	0.1225810444
785	0.1225039961
790	0.1221933283
795	0.1220521468
800	0.1219265459
805	0.121662761
810	0.1212338653
815	0.1209895235
820	0.1207932615
825	0.1206032156
830	0.1204733801
835	0.1203358398
840	0.1202154191
845	0.1200085051
850	0.1198956786
855	0.1195622987
860	0.1194272931
865	0.1193379532
870	0.1191812413
875	0.1190194197
880	0.1187875404
885	0.1187431119
890	0.1183864465
895	0.1181046568
900	0.1179993038
905	0.1177866665
910	0.1175775195
915	0.1174814706
920	0.1174201035
925	0.1171259217
930	0.1169098343
935	0.1168545426
940	0.1166898442
945	0.1165088812
950	0.1162788728
955	0.1161606449
960	0.1160818162
965	0.1158853228
970	0.1157467967
975	0.1157118333
980	0.1154773891
985	0.1154208501
990	0.1153198222
995	0.1150128661
1000	0.1147646216
1005	0.1147211084
1010	0.1143601782
1015	0.1143441348
1020	0.1142369209
1025	0.1140656141
1030	0.1139597179
1035	0.1137592816
1040	0.113680292
1045	0.1135290016
1050	0.1133564274
1055	0.1131546232
1060	0.1130174349
1065	0.1128799549
1070	0.1128015789
1075	0.1127231022
1080	0.1126129211
1085	0.1123897424
1090	0.1122492147
1095	0.1121562638
1100	0.1120346059
1105	0.1119674854
1110	0.1118859912
1115	0.111637455
1120	0.111596054
1125	0.1114669931
1130	0.111349942
1135	0.1111860483
1140	0.1110051657
1145	0.1109205634
1150	0.1107793618
1155	0.1107326802
1160	0.1106060031
1165	0.1104686639
1170	0.1103269694
1175	0.1101080254
1180	0.1100587989
1185	0.1100217836
1190	0.1098549729
1195	0.1097481513
1200	0.109629511
1205	0.109363654
1210	0.1093043388
1215	0.1092575264
1220	0.109045724
1225	0.1089475527
1230	0.1088377538
1235	0.1087720716
1240	0.1086548395
1245	0.1084982785
1250	0.1084456019
1255	0.1082004756
1260	0.1079247411
1265	0.1077871203
1270	0.107637208
1275	0.1074618778
1280	0.1074173185
1285	0.1073384194
1290	0.1072217505
1295	0.1068892759
1300	0.1067198902
1305	0.106613813
1310	0.106563812
1315	0.1064782944
1320	0.1064540634
1325	0.1064267042
1330	0.1064010751
1335	0.1063387826
1340	0.1062116126
1345	0.1059041837
1350	0.1058623805
1355	0.1057788243
1360	0.1056983762
1365	0.1056001446
1370	0.1055471663
1375	0.105481464
1380	0.1054225814
1385	0.1052278683
1390	0.1051041887
1395	0.1050908511
1400	0.1050301478
1405	0.1048580162
1410	0.1046698111
1415	0.1046057885
1420	0.1045616517
1425	0.1045132098
1430	0.1044763554
1435	0.1043094441
1440	0.1041276262
1445	0.1039261438
1450	0.1038642134
1455	0.1036708482
1460	0.1036241968
1465	0.1035699612
1470	0.1034852281
1475	0.1034697179
1480	0.1034017222
1485	0.1033598486
1490	0.1032029254
1495	0.1031483378
1499	0.1029968463
